COD_REGIAO;COD_UF;COD_MUNICIPIO;COD_UFMUN
2;23;07502;2307502
2;23;07601;2307601
2;23;07635;2307635
2;23;07650;2307650
2;23;07700;2307700
2;23;07809;2307809
2;23;07908;2307908
2;23;08005;2308005
2;23;08104;2308104
2;23;08203;2308203
2;23;08302;2308302
2;23;08351;2308351
2;23;08377;2308377
2;23;08401;2308401
2;23;08500;2308500
2;23;08609;2308609
2;23;08708;2308708
2;23;08807;2308807
2;23;08906;2308906
2;23;09003;2309003
2;23;09102;2309102
2;23;09201;2309201
2;23;09300;2309300
2;23;09409;2309409
2;23;09458;2309458
2;23;09508;2309508
2;23;09607;2309607
2;23;09706;2309706
2;23;09805;2309805
2;23;09904;2309904
2;23;10001;2310001
2;23;10100;2310100
2;23;10209;2310209
2;23;10258;2310258
2;23;10308;2310308
2;23;10407;2310407
2;23;10506;2310506
2;23;10605;2310605
2;23;10704;2310704
2;23;10803;2310803
2;23;10852;2310852
2;23;10902;2310902
2;23;10951;2310951
2;23;11009;2311009
2;23;11108;2311108
2;23;11207;2311207
2;23;11231;2311231
2;23;11264;2311264
2;23;11306;2311306
2;23;11355;2311355
2;23;11405;2311405
2;23;11504;2311504
2;23;11603;2311603
2;23;11702;2311702
2;23;11801;2311801
2;23;11900;2311900
2;23;11959;2311959
2;23;12205;2312205
2;23;12007;2312007
2;23;12106;2312106
2;23;12304;2312304
2;23;12403;2312403
2;23;12502;2312502
2;23;12601;2312601
2;23;12700;2312700
2;23;12809;2312809
2;23;12908;2312908
2;23;13005;2313005
2;23;13104;2313104
2;23;13203;2313203
2;23;13252;2313252
2;23;13302;2313302
2;23;13351;2313351
2;23;13401;2313401
2;23;13500;2313500
2;23;13559;2313559
2;23;13609;2313609
2;23;13708;2313708
2;23;13757;2313757
2;23;13807;2313807
2;23;13906;2313906
2;23;13955;2313955
2;23;14003;2314003
2;23;14102;2314102
2;24;00109;2400109
2;24;00208;2400208
2;24;00307;2400307
2;24;00406;2400406
2;24;00505;2400505
2;24;00604;2400604
2;24;00703;2400703
2;24;00802;2400802
2;24;00901;2400901
2;24;01008;2401008
2;24;01107;2401107
2;24;01206;2401206
2;24;01404;2401404
2;24;01453;2401453
2;24;01503;2401503
2;24;01602;2401602
2;24;01651;2401651
2;24;01701;2401701
2;24;01800;2401800
2;24;01859;2401859
2;24;01909;2401909
2;24;02006;2402006
2;24;01305;2401305
2;24;02105;2402105
2;24;02204;2402204
2;24;02303;2402303
2;24;02402;2402402
2;24;02501;2402501
2;24;02600;2402600
2;24;02709;2402709
2;24;02808;2402808
2;24;02907;2402907
2;24;03004;2403004
2;24;03103;2403103
2;24;03202;2403202
2;24;03301;2403301
2;24;03400;2403400
2;24;03509;2403509
2;24;03608;2403608
2;24;03707;2403707
2;24;03756;2403756
2;24;03806;2403806
2;24;03905;2403905
2;24;04002;2404002
2;24;04101;2404101
2;24;04200;2404200
2;24;04309;2404309
2;24;04408;2404408
2;24;04507;2404507
2;24;04606;2404606
2;24;04705;2404705
2;24;04804;2404804
2;24;04853;2404853
2;24;04903;2404903
2;24;05009;2405009
2;24;05108;2405108
2;24;05207;2405207
2;24;05306;2405306
2;24;05405;2405405
2;24;05504;2405504
2;24;05603;2405603
2;24;05702;2405702
2;24;05801;2405801
2;24;05900;2405900
2;24;06007;2406007
2;24;06106;2406106
2;24;06155;2406155
2;24;06205;2406205
2;24;06304;2406304
2;24;06403;2406403
2;24;06502;2406502
2;24;06601;2406601
2;24;06700;2406700
2;24;06809;2406809
2;24;06908;2406908
2;24;07005;2407005
2;24;07104;2407104
2;24;07203;2407203
2;24;07252;2407252
2;24;07302;2407302
2;24;07401;2407401
2;24;07500;2407500
2;24;07609;2407609
2;24;07708;2407708
2;24;07807;2407807
2;24;07906;2407906
2;24;08003;2408003
2;24;08102;2408102
2;24;08201;2408201
2;24;08300;2408300
2;24;08409;2408409
2;24;08508;2408508
2;24;08607;2408607
2;24;08706;2408706
2;24;08805;2408805
2;24;08904;2408904
2;24;03251;2403251
2;24;09100;2409100
2;24;09209;2409209
2;24;09308;2409308
2;24;09407;2409407
2;24;09506;2409506
2;24;09605;2409605
2;24;09704;2409704
2;24;09803;2409803
2;24;09902;2409902
2;24;10009;2410009
2;24;10108;2410108
2;24;10207;2410207
2;24;10256;2410256
2;24;10405;2410405
2;24;10504;2410504
2;24;10603;2410603
2;24;10702;2410702
2;24;10801;2410801
2;24;10900;2410900
2;24;08953;2408953
2;24;11007;2411007
2;24;11106;2411106
2;24;11205;2411205
2;24;09332;2409332
2;24;11403;2411403
2;24;11429;2411429
2;24;11502;2411502
2;24;11601;2411601
2;24;11700;2411700
2;24;11809;2411809
2;24;11908;2411908
2;24;12005;2412005
2;24;12104;2412104
2;24;12203;2412203
2;24;12302;2412302
2;24;12401;2412401
2;24;12500;2412500
2;24;12559;2412559
2;24;12609;2412609
2;24;12708;2412708
2;24;12807;2412807
2;24;12906;2412906
2;24;13003;2413003
2;24;13102;2413102
2;24;13201;2413201
2;24;10306;2410306
2;24;13300;2413300
2;24;13359;2413359
2;24;13409;2413409
2;24;13508;2413508
2;24;13557;2413557
2;24;13607;2413607
2;24;13706;2413706
2;24;13805;2413805
2;24;13904;2413904
2;24;14001;2414001
2;24;14100;2414100
2;24;14159;2414159
2;24;11056;2411056
2;24;14209;2414209
2;24;14308;2414308
2;24;14407;2414407
2;24;14456;2414456
2;24;14506;2414506
2;24;14605;2414605
2;24;14704;2414704
2;24;14753;2414753
2;24;14803;2414803
2;24;14902;2414902
2;24;15008;2415008
2;25;00106;2500106
2;25;00205;2500205
2;25;00304;2500304
2;25;00403;2500403
2;25;00502;2500502
2;25;00536;2500536
2;25;00577;2500577
2;25;00601;2500601
2;25;00734;2500734
2;25;00775;2500775
2;25;00809;2500809
